"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,208,"SVN","Slovenia",1,"Gorenjska",1,"Šencur","Opcine","Commune|Municipality",NA,NA
2,208,"SVN","Slovenia",1,"Gorenjska",2,"Škofja Loka","Opcine","Commune|Municipality",NA,NA
3,208,"SVN","Slovenia",1,"Gorenjska",3,"Železniki","Opcine","Commune|Municipality",NA,NA
4,208,"SVN","Slovenia",1,"Gorenjska",4,"Žiri","Opcine","Commune|Municipality",NA,NA
5,208,"SVN","Slovenia",1,"Gorenjska",5,"Žirovnica","Opcine","Commune|Municipality",NA,NA
6,208,"SVN","Slovenia",1,"Gorenjska",6,"Bled","Opcine","Commune|Municipality",NA,NA
7,208,"SVN","Slovenia",1,"Gorenjska",7,"Bohinj","Opcine","Commune|Municipality",NA,NA
8,208,"SVN","Slovenia",1,"Gorenjska",8,"Cerklje na Gorenjskem","Opcine","Commune|Municipality",NA,NA
9,208,"SVN","Slovenia",1,"Gorenjska",9,"Gorenja Vas-Poljane","Opcine","Commune|Municipality",NA,NA
10,208,"SVN","Slovenia",1,"Gorenjska",10,"Jesenice","Opcine","Commune|Municipality",NA,NA
11,208,"SVN","Slovenia",1,"Gorenjska",11,"Jezersko","Opcine","Commune|Municipality",NA,NA
12,208,"SVN","Slovenia",1,"Gorenjska",12,"Kranj","Opcine","Commune|Municipality",NA,NA
13,208,"SVN","Slovenia",1,"Gorenjska",13,"Kranjska Gora","Opcine","Commune|Municipality",NA,NA
14,208,"SVN","Slovenia",1,"Gorenjska",14,"Naklo","Opcine","Commune|Municipality",NA,NA
15,208,"SVN","Slovenia",1,"Gorenjska",15,"Preddvor","Opcine","Commune|Municipality",NA,NA
16,208,"SVN","Slovenia",1,"Gorenjska",16,"Radovljica","Opcine","Commune|Municipality",NA,NA
17,208,"SVN","Slovenia",1,"Gorenjska",17,"Tržic","Opcine","Commune|Municipality",NA,NA
18,208,"SVN","Slovenia",2,"Goriška",18,"Šempeter-Vrtojba","Opcine","Commune|Municipality",NA,NA
