year,sex,age,length
1966,Male,4,570
1966,Male,4,519
1966,Male,4,518
1966,Male,4,479
1966,Female,4,529
1966,Female,4,560
1966,Male,4,457
1966,Female,4,591
1966,Male,4,526
1966,Female,4,626
1966,Male,4,595
1966,Male,4,420
1966,Male,4,464
1966,Female,4,556
1966,Male,4,489
1966,Female,4,564
1966,Male,4,521
1966,Female,4,509
1966,Male,4,487
1966,Male,4,466
1966,Female,4,641
1966,Male,4,527
1966,Male,4,594
1966,Female,4,566
1966,Male,4,515
1966,Female,4,605
1966,Female,4,610
1966,Male,4,496
1966,Male,4,463
1966,Female,4,499
1966,Male,4,423
1966,Female,4,642
1966,Male,4,483
1966,Female,4,541
1966,Female,4,521
1966,Male,4,522
1966,Male,4,492
1966,Male,4,501
1966,Male,4,423
1966,Male,4,522
1966,Female,4,625
1966,Female,4,576
1966,Male,4,589
1966,Male,4,415
1966,Male,4,487
1966,Male,4,541
1966,Male,4,465
1966,Female,4,516
1966,Male,4,470
1966,Male,4,435
1966,Male,4,509
1966,Male,4,520
1966,Female,4,556
1966,Male,4,499
1966,Male,4,496
1966,Male,4,468
1966,Female,4,581
1966,Male,4,505
1966,Male,4,478
1966,Female,4,653
1966,Female,4,582
1966,Male,4,481
1966,Male,4,392
1966,Female,4,646
1966,Male,4,492
1966,Female,4,599
1966,Male,4,519
1966,Female,4,551
1966,Male,4,515
1966,Male,4,535
1966,Female,4,643
1966,Male,4,537
1966,Male,4,599
1966,Female,4,514
1966,Male,4,415
1966,Female,4,667
1966,Male,4,404
1966,Male,4,550
1966,Male,4,473
1966,Male,4,384
1966,Male,4,526
1966,Female,4,634
1966,Male,4,489
1966,Male,4,489
1966,Male,4,506
1966,Male,4,434
1966,Female,4,514
1966,Female,4,545
1966,Male,4,566
1966,Female,4,537
1966,Female,4,645
1966,Male,4,524
1966,Female,4,675
1966,Female,4,601
1966,Male,4,464
1966,Male,4,460
1966,Female,4,537
1966,Female,4,467
1966,Female,4,549
1966,Male,4,490
1966,Male,4,517
1966,Female,4,632
1966,Male,4,531
1966,Male,4,428
1966,Male,4,497
1966,Female,4,593
1966,Male,4,493
1966,Male,4,529
1966,Male,4,488
1966,Female,4,566
1966,Male,4,544
1966,Female,4,637
1966,Female,4,589
1966,Female,4,601
1966,Male,4,447
1966,Female,4,532
1966,Male,4,442
1966,Female,4,511
1966,Female,4,606
1966,Male,5,581
1966,Male,5,659
1966,Male,5,748
1966,Male,5,607
1966,Female,5,775
1966,Female,5,746
1966,Female,5,753
1966,Male,5,571
1966,Male,5,623
1966,Male,5,589
1966,Male,5,642
1966,Male,5,612
1966,Male,5,598
1966,Male,5,688
1966,Male,5,621
1966,Male,5,717
1966,Male,5,676
1966,Female,5,818
1966,Male,5,605
1966,Female,5,790
1966,Male,5,683
1966,Male,5,695
1966,Female,5,761
1966,Female,5,669
1966,Female,5,722
1966,Female,5,750
1966,Female,5,758
1966,Male,5,691
1966,Male,5,629
1966,Male,5,606
1966,Male,5,583
1966,Male,5,575
1966,Male,5,623
1966,Male,5,624
1966,Male,5,635
1966,Male,5,652
1966,Male,5,622
1966,Male,5,583
1966,Male,5,673
1966,Male,5,711
1966,Male,5,677
1966,Male,5,544
1966,Female,5,738
1966,Male,5,568
