event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,location-error-text,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone
260308929,TRUE,1994-04-23 22-00-00,14.32837298,45.88914187,aa,capture,4,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,447890.6391,5081949.805,33N
260308930,TRUE,1994-04-24 16-40-00,14.37174524,45.87071802,ia,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,451239.634,5079875.428,33N
260308931,TRUE,1994-04-25 14-45-00,14.39851721,45.8665881,ii,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,453314.0114,5079400.57,33N
260308932,TRUE,1994-04-26 12-30-00,14.41214825,45.88694919,nm,,4,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,454388.6889,5081654.894,33N
260308933,TRUE,1994-04-28 12-00-00,14.41259884,45.87475943,ia,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,454413.6814,5080300.3,33N
260308934,TRUE,1994-04-29 09-30-00,14.40471176,45.88956506,ia,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,453813.8614,5081949.805,33N
260308935,TRUE,1994-05-01 11-30-00,14.41150929,45.88645102,aa,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,454338.7039,5081599.91,33N
260308936,TRUE,1994-05-07 17-00-00,14.51405444,45.83632009,ii,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,462261.3261,5075976.598,33N
260308937,TRUE,1994-05-12 12-00-00,14.37628088,45.86826846,aa,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,451589.529,5079600.51,33N
260308938,TRUE,1994-05-13 19-00-00,14.39087089,45.85912435,nm,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,452714.1914,5078575.818,33N
260308939,TRUE,1994-05-16 13-00-00,14.30079975,45.90449773,ia,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,445766.2766,5083674.288,33N
260308940,TRUE,1994-05-18 09-00-00,14.28176475,45.93137306,nm,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,444316.7117,5086673.387,33N
260308941,TRUE,1994-05-21 16-30-00,14.29489216,45.91300935,aa,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,445316.4116,5084624.003,33N
260308942,TRUE,1994-05-24 14-00-00,14.40330592,45.8704373,aa,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,453688.8989,5079825.443,33N
260308943,TRUE,1994-05-29 09-30-00,14.40788545,45.86978628,aa,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,454043.7924,5079750.465,33N
260308944,TRUE,1994-06-03 14-30-00,14.34665009,45.84133415,nm,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,449265.2265,5076626.403,33N
260308945,TRUE,1994-06-05 14-45-00,14.34941202,45.88049069,ii,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,449515.1515,5080975.098,33N
260308946,TRUE,1994-06-08 17-30-00,14.41320737,45.87813675,aa,,4,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,454463.6664,5080675.188,33N
260308947,TRUE,1994-06-10 13-30-00,14.37817097,45.90089594,aa,,4,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,451764.4764,5083224.423,33N
260308948,TRUE,1994-06-13 15-40-00,14.3475288,45.84876245,aa,,4,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,449340.204,5077451.155,33N
260308949,TRUE,1994-06-16 19-30-00,14.38801423,45.82604177,aa,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,452464.2664,5074901.92,33N
260308950,TRUE,1994-06-18 18-00-00,14.28069925,45.91404561,nm,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,444216.7417,5084748.965,33N
260308951,TRUE,1994-06-19 16-30-00,14.28111425,45.93181886,ii,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,444266.7267,5086723.372,33N
260308952,TRUE,1994-06-20 18-00-00,14.28237462,45.93407622,nm,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,444366.6967,5086973.297,33N
260308953,TRUE,1994-06-21 12-20-00,14.36342563,45.89429133,nm,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,450614.8215,5082499.64,33N
260308954,TRUE,1994-06-22 19-30-00,14.2953937,45.89884088,ii,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,445341.4041,5083049.475,33N
260308955,TRUE,1994-06-23 12-40-00,14.3442546,45.8534676,aa,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,449090.279,5077975.998,33N
260308956,TRUE,1994-06-25 13-30-00,14.34753143,45.84853751,aa,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,449340.204,5077426.163,33N
260308957,TRUE,1994-06-29 14-45-00,14.39459734,45.87174117,aa,,4,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,453014.1014,5079975.398,33N
260308958,TRUE,1994-06-30 13-30-00,14.40103744,45.87177511,aa,,1,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,453513.9514,5079975.398,33N
260308959,TRUE,1994-07-05 16-00-00,14.37225966,45.85362488,nm,,1,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,451264.6265,5077975.998,33N
260308960,TRUE,1994-07-06 14-15-00,14.37294722,45.87837281,aa,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,451339.604,5080725.173,33N
260308961,TRUE,1994-07-09 13-00-00,14.37195828,45.88039189,aa,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,451264.6265,5080950.105,33N
260308962,TRUE,1994-07-12 12-00-00,14.33274611,45.8736462,aa,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,448215.5416,5080225.323,33N
260308963,TRUE,1994-07-13 08-45-00,14.31677673,45.91539174,ii,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,447015.9016,5084873.928,33N
260308964,TRUE,1994-07-16 14-00-00,14.35068974,45.88139775,ii,,3,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,449615.1215,5081075.068,33N
260308965,TRUE,1994-07-19 11-45-00,14.32318075,45.91880402,aa,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,447515.7516,5085248.815,33N
260308966,TRUE,1994-07-20 17-30-00,14.33213304,45.89793679,ii,,2,radio-transmitter,Ursus arctos,ancka,ancka,Brown bear Slovenia 1993-1999,448190.5491,5082924.513,33N
