doy,y_1917,y_1919,y_1921,y_1923,y_1925,y_1927,y_1929,y_1931,y_1933,y_1935,y_1937,y_1939,y_1941,y_1943,y_1945,y_1947,y_1949,y_1951,y_1953,y_1955,y_1957,y_1959,y_1961,y_1963,y_1965,y_1967,y_1969,y_1971,y_1973,y_1975,y_1977,y_1979,y_1981,y_1983,y_1985,y_1987,y_1989,y_1991,y_1993,y_1995,y_1997,y_1999,y_2001,y_2003,y_2005,y_2007,y_2009,y_2011,y_2013,y_2015
161,90,189,161,73,1700,107,1361,1168,608,100,1110,1849,515,283,776,716,729,104,892,259,927,1874,1090,1308,1411,402,135,892,864,852,1241,667,727,1041,4984,2061,901,1651,366,1985,1196,183,2411,727,246,1019,26,1298,1484,2293
162,113,412,907,819,1495,1176,1536,1917,1502,2058,73,2645,551,226,635,433,482,49,160,81,821,1532,1703,1432,174,72,188,617,371,1614,1983,3000,201,741,1500,1840,389,203,939,503,1637,101,1783,413,97,1331,1069,2530,146,1614
163,124,292,756,7,176,1880,1753,662,736,1491,2512,1177,110,723,931,804,1063,1151,221,1746,838,40,112,1064,941,347,231,668,526,401,1573,4100,55,26,327,4192,489,168,365,897,1913,74,1349,1431,1244,362,1700,2458,1076,61
164,46,162,34,1481,347,0,1203,2767,1730,869,1449,6863,305,628,383,663,1095,889,551,40,464,907,810,432,1834,1401,234,388,1759,130,848,642,440,569,603,162,1898,2322,673,159,1388,975,2051,1730,641,1930,1029,219,511,2244
165,69,351,443,407,766,1294,1287,629,480,197,492,3960,278,181,654,672,1629,193,528,703,287,649,553,2502,403,2104,935,651,931,1804,1729,1699,1320,1001,2795,2340,91,4,1857,623,675,319,1373,259,1243,1774,1989,1285,114,3486
166,39,184,796,670,489,920,1101,142,812,1175,1381,3343,353,676,954,642,550,264,702,964,1930,964,1118,241,1459,695,313,79,27,647,2012,1055,654,215,2995,2360,925,1626,853,1503,394,712,250,2469,736,164,535,36,198,260
167,45,153,112,836,366,642,1767,1014,1315,1162,37,3434,11,659,212,50,279,705,1365,18,66,1795,677,333,837,2148,899,231,1376,514,865,2345,587,396,4232,3702,1756,3052,693,1992,892,268,778,1305,343,412,29,1824,982,1823
168,71,362,628,749,1088,1467,52,712,919,2140,810,1534,67,676,762,348,531,91,321,884,175,950,1230,1951,897,193,436,1047,889,34,1713,3810,760,1233,6083,1069,813,1575,188,875,1395,2065,484,1310,217,1553,33,559,335,1215
169,65,230,458,701,596,830,629,2295,2006,2225,785,560,189,725,456,201,1535,1088,290,271,1494,89,230,2147,422,2301,1038,937,1132,165,1449,4663,226,1470,4008,376,1030,1174,285,83,330,1690,76,382,71,1087,1467,2321,1355,469
170,31,44,489,1203,592,400,1041,1935,1254,2034,1352,683,236,114,165,5,1719,272,1459,863,935,1706,783,1684,490,1709,1064,444,1188,698,1060,4979,625,951,289,557,282,1840,236,1077,1060,194,1152,226,279,360,791,1352,328,1762
171,2,29,282,177,1339,2064,1426,1304,2594,1797,1724,3048,2,386,415,625,1119,606,363,1214,1327,1506,1107,1690,575,1367,74,80,1598,601,1614,4196,1303,704,692,3022,282,487,1620,544,1660,1925,710,691,8,160,269,1679,219,2505
172,3,413,254,1379,946,1185,2492,1503,819,1836,1714,7037,204,461,276,522,1135,1210,730,1500,218,599,1015,350,1105,997,304,300,3201,1920,985,5579,406,277,1575,2453,617,1537,935,111,1892,1002,2431,2710,1075,62,1386,1585,654,1413
173,27,41,659,54,570,424,2080,1121,428,2399,2967,4870,23,449,666,655,792,929,1573,941,1333,967,1003,0,1335,946,643,835,2995,1373,283,8669,151,1303,5924,3733,112,1682,1612,84,869,457,1462,1154,1034,1833,354,575,335,4743
174,40,59,531,1053,814,885,165,2064,3414,1893,2480,3356,223,747,440,1003,464,884,2048,531,127,1762,2295,525,1981,179,120,1166,3572,1667,374,7724,1073,1885,4669,2930,126,1755,1042,1430,1941,723,717,1198,3531,2208,1015,857,760,4372
175,73,20,1665,1389,1392,1120,835,3398,457,1731,5648,2372,493,418,903,877,832,1278,2825,799,1636,1439,2513,1633,1785,1643,212,920,3972,678,617,7853,878,1066,395,532,615,3799,650,1429,3263,111,1309,2072,3085,2600,509,1540,41,5724
176,167,277,1607,937,2389,1386,2252,3314,2201,2681,5862,5150,513,378,59,1115,849,2842,2242,491,452,1262,4279,197,1706,683,808,2680,4802,490,507,6433,256,1056,3923,2876,446,3598,1578,412,2635,1148,645,1744,3252,1877,1125,1093,545,4326
177,152,262,2133,224,1905,367,2733,6110,3000,2356,8712,3377,374,806,272,1269,724,2917,3726,1593,529,1502,5018,1346,3709,2276,89,2834,3301,478,1195,9277,657,1360,3940,4030,445,3698,2949,1250,1740,851,1991,3290,4102,2863,1309,2831,917,6250
178,197,11,2699,1088,2701,616,1283,8023,5148,2517,11474,4725,151,1002,459,1524,795,2955,4821,2337,1026,2052,5404,907,4497,218,1055,3977,5478,914,848,9857,193,1781,4099,4962,571,4871,1837,1339,1432,1933,2544,2991,4883,2982,1211,753,1201,7120
179,220,14,3196,1238,1997,732,3479,10892,6075,3377,11423,5589,266,785,598,1289,2043,3603,3919,2458,1447,977,7614,1610,5609,2568,14,4597,3254,727,1314,6697,529,746,3585,4499,1290,6718,2157,1380,3520,1898,1866,5383,5456,3960,1723,2828,1408,7575
180,221,13,3560,2078,2302,1530,3458,11518,7763,3692,12067,6347,172,1431,797,1614,2209,4666,4317,2673,1737,1556,8683,2457,5556,4082,800,5275,3376,1272,2066,7693,904,2340,5700,4604,2329,5814,3079,3043,3047,1811,2845,6862,4409,3425,2090,3587,1810,8970
181,291,406,3432,3264,2897,906,3767,13745,9943,2639,10439,3637,511,1589,607,1689,3213,5938,5092,5147,3567,2005,9886,1552,7490,3338,22,4974,3423,1157,2299,5322,987,2428,9310,6667,2275,6409,4650,2452,2824,1416,3123,7946,4306,3918,2605,3311,2702,8241
182,378,268,3528,2606,2817,1913,3798,15668,12198,4681,9049,8362,905,1550,361,1728,4130,4954,5656,6143,3317,2407,8000,2130,8049,4566,911,3885,2399,1377,2601,6144,1599,3324,9040,6589,3608,7923,4012,3420,3380,3011,4172,8905,5015,5786,3963,6858,3407,10120
183,395,329,2746,4586,3423,2879,3444,14500,14199,3756,5681,7287,1112,1929,947,1117,4712,5216,5230,6191,5178,3681,6769,3758,7353,5560,910,2865,2324,1859,3456,5210,1780,4070,13481,3989,4749,7820,5759,3868,3112,3351,5456,11134,3754,6910,6637,7496,2967,9090
184,423,267,2037,4651,2709,2144,3528,13890,13013,2649,4781,12191,1488,2177,1192,1526,5844,6341,4663,7169,7686,2449,5616,3682,7581,5887,1391,3595,2018,2953,5105,3058,1391,5395,13103,8735,4831,7720,6114,4255,2424,3194,7969,11205,3158,5765,7373,10411,4226,9543
185,371,808,967,4611,3436,3842,6105,9244,11723,3868,3881,10463,2253,1753,1577,1858,5965,6255,4305,6882,6983,3291,3678,3040,5721,6528,1526,1999,1924,4171,6180,4650,2269,4231,16860,6539,5577,5352,5715,4223,3942,4041,7554,9009,2937,6359,8501,11385,4885,6724
186,360,815,1119,4560,2663,5047,5889,11189,9215,3531,1383,7730,2216,1790,1627,2472,6270,5598,3230,5926,7732,3136,3182,4174,5271,6301,2586,826,1195,6410,7835,2956,1682,4453,14553,12319,5921,5171,5850,4348,3394,5392,7668,6287,1673,5286,9003,12198,5823,5202
187,260,1142,199,3851,2975,3660,5846,6993,6391,4499,2923,8684,2646,1681,1838,1489,5138,5446,2579,4918,7366,3591,1368,5523,4112,6057,2559,558,724,7491,6780,387,2962,4826,18867,9578,5579,5563,4690,4848,4084,4742,7519,5198,1917,5275,6412,12023,4687,4312
188,288,1322,616,2795,1876,5114,5938,4198,5567,3935,997,6500,2499,1268,2088,1944,4984,4018,1194,5006,5407,3477,1548,4334,2352,6173,3363,460,1344,7593,7690,2333,2501,4262,17388,8231,5085,3633,4108,4725,2650,4527,7002,3647,525,4297,5843,11339,3869,4345
189,221,1381,460,3066,2371,5484,6492,3668,3181,4876,901,10367,2099,1067,2798,2336,4178,4602,1737,3068,5367,4147,1152,4773,2023,3665,3202,74,648,6847,6116,113,2998,4203,19742,9961,4496,2136,4071,4993,2572,4825,5024,2898,750,4941,4484,9972,3718,2695
