pond,treatment,replicate,chl a,daph,bosm,cope,chao
S.28,Control,1,9.34,39,64,92,2
S.28,Control,2,10.07,42,71,98,2
S.28,Control,3,6.8,28,45,71,1
S.28,Control,4,9.44,36,67,96,2
S.28,Control,5,2.63,11,15,28,NA
S.28,Add,1,24.96,102,176,251,5
S.28,Add,2,35.96,143,251,360,7
S.28,Add,3,35.06,139,246,353,7
S.28,Add,4,30.62,118,214,305,6
S.28,Add,5,29.06,115,207,288,6
S.30,Control,1,14.15,58,96,142,3
S.30,Control,2,8.33,31,58,82,2
S.30,Control,3,25.92,103,179,256,5
S.30,Control,4,24.1,97,165,241,5
S.30,Control,5,20.36,80,138,203,4
S.30,Add,1,49.26,195,345,490,10
S.30,Add,2,43.77,174,306,439,9
S.30,Add,3,51.87,207,359,517,10
S.30,Add,4,47.47,191,333,476,9
S.30,Add,5,44.77,180,315,450,9
